DATE,GBRCPIALLMINMEI
1960-01-01,5.6119969134148
1960-02-01,5.6119969134148
1960-03-01,5.60178399819476
1960-04-01,5.63242274385489
1960-05-01,5.63242274385489
1960-06-01,5.66306148951503
1960-07-01,5.67327440473507
1960-08-01,5.63752920146492
1960-09-01,5.64263565907494
1960-10-01,5.68859377756514
1960-11-01,5.71412606561526
1960-12-01,5.72944543844532
1961-01-01,5.73455189605534
1961-02-01,5.73455189605534
1961-03-01,5.75497772649544
1961-04-01,5.78561647215557
1961-05-01,5.80093584498564
1961-06-01,5.85200042108586
1961-07-01,5.85200042108586
1961-08-01,5.90817145479611
1961-09-01,5.89795853957607
1961-10-01,5.90817145479611
1961-11-01,5.96944894611638
1961-12-01,5.97966186133643
1962-01-01,6.00008769177652
1962-02-01,6.00608777946829
1962-03-01,6.0300881302354
1962-04-01,6.11408935792027
1962-05-01,6.1320896209956
1962-06-01,6.17409023483804
1962-07-01,6.15008988407093
1962-08-01,6.09608909484494
1962-09-01,6.09008900715316
1962-10-01,6.08408891946139
1962-11-01,6.1080892702285
1962-12-01,6.13808970868738
1963-01-01,6.16209005945448
1963-02-01,6.21609084868047
1963-03-01,6.22209093637225
1963-04-01,6.24009119944758
1963-05-01,6.2340911117558
1963-06-01,6.2340911117558
1963-07-01,6.19809058560514
1963-08-01,6.18009032252981
1963-09-01,6.19809058560514
1963-10-01,6.22209093637225
1963-11-01,6.24009119944758
1963-12-01,6.25209137483113
1964-01-01,6.28209181329001
1964-02-01,6.28809190098179
1964-03-01,6.3120922517489
1964-04-01,6.36609304097489
1964-05-01,6.42009383020088
1964-06-01,6.44409418096798
1964-07-01,6.44409418096798
1964-08-01,6.46809453173509
1964-09-01,6.46809453173509
1964-10-01,6.47409461942686
1964-11-01,6.52809540865285
1964-12-01,6.55209575941996
1965-01-01,6.57009602249529
1965-02-01,6.57009602249529
1965-03-01,6.59409637326239
1965-04-01,6.7200982147897
1965-05-01,6.74409856555681
1965-06-01,6.76209882863214
1965-07-01,6.76209882863214
1965-08-01,6.77409900401569
1965-09-01,6.78009909170746
1965-10-01,6.78609917939924
1965-11-01,6.81609961785812
1965-12-01,6.84610005631701
1966-01-01,6.85810023170056
1966-02-01,6.86410031939234
1966-03-01,6.87610049477589
1966-04-01,6.96010172246076
1966-05-01,7.00810242399497
1966-06-01,7.0261026870703
1966-07-01,6.99610224861142
1966-08-01,7.03810286245386
1966-09-01,7.0261026870703
1966-10-01,7.04410295014563
1966-11-01,7.08610356398807
1966-12-01,7.09810373937162
1967-01-01,7.11010391475517
1967-02-01,7.11610400244695
1967-03-01,7.11610400244695
1967-04-01,7.17010479167294
1967-05-01,7.16410470398116
1967-06-01,7.19410514244004
1967-07-01,7.15210452859761
1967-08-01,7.13410426552228
1967-09-01,7.1281041778305
1967-10-01,7.18210496705649
1967-11-01,7.22410558089893
1967-12-01,7.27210628243314
1968-01-01,7.29610663320025
1968-02-01,7.3321071593509
1968-03-01,7.35610751011801
1968-04-01,7.4881094393371
1968-05-01,7.49410952702887
