date,country,CPI,GDP,IR,UE
1960-02-01,US,0.100000000000001,0.0100292328809957,0,-0.4
1960-03-01,US,0,-0.0739120230309993,0,0.600000000000001
1960-04-01,US,0,-0.155592557443001,0,-0.2
1960-05-01,US,0,-0.218839306351995,0,-0.100000000000001
1960-06-01,US,0.0999999999999979,-0.264962541955995,-0.35,0.300000000000001
1960-07-01,US,-0.0999999999999979,-0.30819003191101,-0.15,0.0999999999999996
1960-08-01,US,0,-0.351930002041698,-0.32,0.0999999999999996
1960-09-01,US,0,-0.386055549459698,-0.18,-0.0999999999999996
1960-10-01,US,0.199999999999999,-0.384333028099803,0,0.6
1960-11-01,US,0,-0.336950986394797,0,0
1960-12-01,US,-0.100000000000001,-0.250242658576198,0,0.5
1961-01-01,US,0.100000000000001,-0.149741516526504,0,0
1961-02-01,US,0,-0.0483959613614928,0,0.300000000000001
1961-03-01,US,0.0999999999999979,0.04560439221639,0,0
1961-04-01,US,0,0.121091891970607,0,0.0999999999999996
1961-05-01,US,0,0.176516206612092,0,0.0999999999999996
1961-06-01,US,0.100000000000001,0.214131938302501,0,-0.199999999999999
1961-07-01,US,0,0.235682997234704,0,0.0999999999999996
1961-08-01,US,0.100000000000001,0.2441910923487,0,-0.4
1961-09-01,US,0,0.242015776189504,0,0.100000000000001
1961-10-01,US,0,0.229821109787295,0,-0.2
1961-11-01,US,0.0999999999999979,0.207815105455197,0,-0.4
1961-12-01,US,0,0.176197961971511,0,-0.0999999999999996
1962-01-01,US,0,0.136324450898698,0,-0.2
1962-02-01,US,0,0.0898121462630002,0,-0.3
1962-03-01,US,0.100000000000001,0.0410016890919991,0,0.0999999999999996
1962-04-01,US,0,-0.000121782730005293,0,0
1962-05-01,US,0.0999999999999979,-0.0316101117630012,0,-0.0999999999999996
1962-06-01,US,0,-0.0568865834389953,0,0
1962-07-01,US,0,-0.0827154200470091,0,-0.0999999999999996
1962-08-01,US,0.100000000000001,-0.111049849512099,0,0.3
1962-09-01,US,0,-0.137487760027099,0,-0.100000000000001
1962-10-01,US,0,-0.149590500834094,0,-0.199999999999999
1962-11-01,US,0,-0.142690450180297,0,0.3
1962-12-01,US,0.100000000000001,-0.119101381260407,0,-0.2
1963-01-01,US,-0.100000000000001,-0.0886759069607024,0,0.2
1963-02-01,US,0.100000000000001,-0.0556978198411002,0,0.2
1963-03-01,US,0.0999999999999979,-0.0213530838755958,0,-0.2
1963-04-01,US,0,0.0136505464912062,0,0
1963-05-01,US,0,0.0472074468943902,0,0.2
1963-06-01,US,0.100000000000001,0.0730548221830105,0,-0.300000000000001
1963-07-01,US,0,0.0780965576683883,0.24,0
1963-08-01,US,0.0999999999999979,0.0615402949429011,0.26,-0.199999999999999
1963-09-01,US,0,0.0342004325157035,0,0.0999999999999996
1963-10-01,US,0.100000000000001,0.0193193174945066,0,0
1963-11-01,US,0,0.0248504679120885,0,0.2
1963-12-01,US,0.100000000000001,0.0443643937306035,0,-0.2
1964-01-01,US,0.100000000000001,0.0565185914130097,0,0.0999999999999996
1964-02-01,US,0,0.052011439846595,0,-0.199999999999999
1964-03-01,US,0,0.0323846197131985,0,0
1964-04-01,US,0,0.010057833247501,0,-0.100000000000001
1964-05-01,US,0,-0.00971120258290625,0,-0.2
1964-06-01,US,0.0999999999999943,-0.0273759186354994,0,0.100000000000001
1964-07-01,US,0,-0.0477937340828021,0,-0.3
